track,date,race,distance_m,box,runner,trainer,comments,form_text,box_adv,form_score,_score,prob
Grafton,2025-09-02,13.0,350,0,0:22.90 Sec Time 8.53 Sec Time Adj 0.16 BP 3 Odds 1.8F Prize Won $320 Trainer Daryl Brennan Ongoing Winners 00-04-11 Track Direction Anti-,,0:22.90 Sec Time 8.53 Sec Time Adj 0.16 BP 3 Odds 1.8F Prize Won $320 Trainer Daryl Brennan Ongoing Winners 00-04-11 Track Direction Anti-,,1.125,0.40650000000000003,0.6939,0.000702729445640401
Grafton,2025-09-02,13.0,350,0,0:22.34 Sec Time 8.64 BP 6 Odds 6.5 Trainer Daryl Brennan Ongoing Winners 04-04-15 Track Direction Anti-Clockwise Winner Lektra Unhinged,,0:22.34 Sec Time 8.64 BP 6 Odds 6.5 Trainer Daryl Brennan Ongoing Winners 04-04-15 Track Direction Anti-Clockwise Winner Lektra Unhinged,,1.125,0.44550000000000006,0.7173,0.0007193672174236522
Grafton,2025-09-02,13.0,450,0,0%-0% 100%- 0%-0% 13%-33%,,0%-0% 100%- 0%-0% 13%-33%,,1.125,0.7112499999999999,0.8767499999999999,0.0008437210756539636
Grafton,2025-09-02,13.0,450,0,0.36 Race Time 0:25.48 Sec Time 8.84 BP 7 Odds 7 Trainer Francis Hancock Ongoing Winners 02-01-13 Track Direction Clockwise Winner True,,0.36 Race Time 0:25.48 Sec Time 8.84 BP 7 Odds 7 Trainer Francis Hancock Ongoing Winners 02-01-13 Track Direction Clockwise Winner True,,1.125,0.32875,0.64725,0.0006707000119297664
Grafton,2025-09-02,13.0,450,0,0.73 Race Time 0:25.37 Sec Time 4.33 BP 5 Odds 40 Trainer Francis Hancock Ongoing Winners 00-02-08 Track Direction Anti-Clockwise Winner,,0.73 Race Time 0:25.37 Sec Time 4.33 BP 5 Odds 40 Trainer Francis Hancock Ongoing Winners 00-02-08 Track Direction Anti-Clockwise Winner,,1.125,0.3375,0.6525000000000001,0.0006742304462735876
Grafton,2025-09-02,13.0,450,0,0%-0% 100%- 0%-100% 18%-73%,,0%-0% 100%- 0%-100% 18%-73%,,1.125,0.6859999999999999,0.8615999999999999,0.0008310350407157394
Grafton,2025-09-02,13.0,450,0,0:17.15 Sec Time 2.46 BP 7 Odds 0.75F Prize Won $435 Trainer Karen Ulrick Ongoing Winners 01-04-12 Track Direction Clockwise Winner Get,,0:17.15 Sec Time 2.46 BP 7 Odds 0.75F Prize Won $435 Trainer Karen Ulrick Ongoing Winners 01-04-12 Track Direction Clockwise Winner Get,,1.125,0.585,0.8009999999999999,0.0007821698847622266
Grafton,2025-09-02,13.0,450,0,0%-0% 50%-50% 0%-0% 5%-34%,,0%-0% 50%-50% 0%-0% 5%-34%,,1.125,0.2175,0.5805,0.0006273922611541504
Grafton,2025-09-02,13.0,525,0,"0-2 WIN Prize $3,110 API 0.2 Race Time 0:31.08 Sec Time 4.01 Sec Time Adj 0.04 BP 7 Odds 4 Prize Won $635 Trainer Mark Knowles Ongoing",,"0-2 WIN Prize $3,110 API 0.2 Race Time 0:31.08 Sec Time 4.01 Sec Time Adj 0.04 BP 7 Odds 4 Prize Won $635 Trainer Mark Knowles Ongoing",,1.125,0.7362500000000001,0.89175,0.000856472286787966
Grafton,2025-09-02,13.0,525,0,0%-8% 9%-26%,,0%-8% 9%-26%,,1.125,0.2537037037037037,0.6022222222222222,0.0006411697119531432
